공항철도,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10
A01,0,9999,7,9999,9999,9999,9999,9999,9999,9999
A02,9999,0,9999,9999,9999,9999,9999,9999,9999,9999
A03,7,9999,0,3,9999,9999,9999,9999,9999,9999
A04,9999,9999,3,0,9,9999,9999,9999,9999,9999
A05,9999,9999,9999,9,0,6,9999,9999,9999,9999
A06,9999,9999,9999,9999,6,0,5,9999,9999,9999
A07,9999,9999,9999,9999,9999,5,0,13,9999,9999
A08,9999,9999,9999,9999,9999,9999,13,0,4,9999
A09,9999,9999,9999,9999,9999,9999,9999,4,0,4
A10,9999,9999,9999,9999,9999,9999,9999,9999,4,0
