경춘선,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140
P120,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
P121,3,0,9999,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
P122,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
P123,9999,5,9999,0,9999,4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
P124,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
P125,9999,9999,9999,4,9999,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
P126,9999,9999,9999,9999,9999,3,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
P127,9999,9999,9999,9999,9999,9999,3,0,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
P128,9999,9999,9999,9999,9999,9999,9999,3,0,9999,5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
P129,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
P130,9999,9999,9999,9999,9999,9999,9999,9999,5,9999,0,5,9999,9999,9999,9999,9999,9999,9999,9999,9999
P131,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,0,6,9999,9999,9999,9999,9999,9999,9999,9999
P132,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,6,0,6,9999,9999,9999,9999,9999,9999,9999
P133,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,6,0,6,9999,9999,9999,9999,9999,9999
P134,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,6,0,4,9999,9999,9999,9999,9999
P135,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,0,3,9999,9999,9999,9999
P136,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,5,9999,9999,9999
P137,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,0,7,9999,9999
P138,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,7,0,5,9999
P139,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,0,3
P140,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0
